step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,-0.724999999999909,0,0.02,0.0025,15.752414886054508,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,0,0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.331960378547902,16.109862352089444,14.647766608195406,0.375
20.0,-0.005,2,0.12,0.015,16.67365049929391,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,0,1,0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.773705107360936,9.688272991816104,6.684137472802188,0.0
25.0,-0.0249999999999999,3,0.27,0.03375,16.91858176246707,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,0,1,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.122933256849788,2.8915145963407163,10.483847446705433,0.0
30.0,-0.03,4,0.4599999999999999,0.0574999999999999,17.46653706247327,COMPARE OFF,COMPARE OFF,COMPARE OFF,2,0,0,1,0.21,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.9617786443203356,11.863232915983463,16.55961577047446,0.0
35.0,-0.045,5,0.7000000000000001,0.0875,16.793156213840494,COMPARE OFF,COMPARE OFF,COMPARE OFF,3,0,0,1,0.35,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.981564509083644,10.031182658883289,12.745929770515112,0.0
40.0,-0.0699999999999999,6,1.01,0.12625,16.46738778943299,COMPARE OFF,COMPARE OFF,COMPARE OFF,4,0,0,1,0.52,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.6956812644403682,2.2497169432275825,8.026658809555448,10.795321978763477
45.0,-0.085,10,1.4500000000000002,0.18125,15.594993835692478,COMPARE OFF,COMPARE OFF,COMPARE OFF,6,0,0,1,0.74,0.01,0.01,0.3,0.0,0.0,0.0,0.0,0.4717938206713992,6.686491738845775,3.662322598540352,7.736327314679882
50.0,-0.1099999999999999,13,2.06,0.2575,14.72165372677614,COMPARE OFF,COMPARE OFF,COMPARE OFF,6,1,1,1,1.01,0.05,0.06,0.36,0.0,0.0,0.0,0.0,1.2826591189053846,5.831020606159885,4.295780779729462,0.0821214839201678
55.0,-0.135,19,2.85,0.35625,13.995102858015164,COMPARE OFF,COMPARE OFF,COMPARE OFF,8,1,2,2,1.34,0.1,0.12,0.45,0.0,0.0,0.0,0.0,0.0064797705766746,1.9142729829223668,1.237035022000512,8.273648729358305
60.0,-0.165,20,3.79,0.4737499999999999,13.092618196931868,COMPARE OFF,COMPARE OFF,COMPARE OFF,8,1,2,2,1.74,0.16,0.19,0.55,0.0,0.0,0.0,0.0,0.2825442503162454,3.298524184207549,5.126759204344255,7.176877992966276
65.0,-0.1999999999999999,23,4.88,0.61,12.552321929512049,COMPARE OFF,COMPARE OFF,COMPARE OFF,8,2,3,2,2.14,0.25,0.31,0.65,0.0,0.0,0.0,0.0,1.33360636996521,1.7522932078311777,4.9884647399073145,0.0
70.0,-0.2,25,6.08,0.76,12.30515394650986,COMPARE OFF,COMPARE OFF,COMPARE OFF,9,2,3,2,2.55,0.35,0.45,0.75,0.0,0.0,0.0,0.0,0.16657659802219,4.2215490227754895,0.0,7.474062650601333
75.0,-0.2049999999999998,31,7.499999999999999,0.9375,11.474562891773266,COMPARE OFF,COMPARE OFF,COMPARE OFF,11,3,3,2,3.09,0.47,0.6,0.85,0.0,0.0,0.0,0.0,0.2052580450926457,4.46630864538286,3.0027695484588794,6.287677396305939
80.0,-0.27,34,9.14,1.1425,11.277157309268617,COMPARE OFF,COMPARE OFF,COMPARE OFF,11,3,3,2,3.64,0.62,0.75,0.95,0.0,0.0,0.0,0.0,0.0089292114775769,5.299856066385029,3.827544991348729,2.4106927261681377
85.0,-0.2750000000000001,37,10.96,1.37,11.38131917946062,COMPARE OFF,COMPARE OFF,COMPARE OFF,12,3,3,2,4.21,0.77,0.9,1.07,0.0,0.0,0.0,0.0,0.0529989181876,6.093597463839951,1.6753419619836918,3.304067573617439
90.0,-0.2849999999999999,41,12.98,1.6225,11.134193392126576,COMPARE OFF,COMPARE OFF,COMPARE OFF,13,3,4,3,4.8,0.95,1.1,1.22,0.0,0.0,0.0,0.0,0.0159124308138251,1.2852682501667572,2.787501573681031,4.67877643177814
95.0,-0.2949999999999999,45,15.2,1.9,11.160854642975632,COMPARE OFF,COMPARE OFF,COMPARE OFF,14,4,4,4,5.49,1.15,1.3,1.4,0.0,0.0,0.0,0.0,0.5217380541616411,0.2165082142490465,1.2229640924112293,4.492420477712683
100.0,-0.3450000000000002,46,17.27,2.1587500000000004,10.916406007772787,COMPARE OFF,COMPARE OFF,COMPARE OFF,14,4,5,4,6.19,1.35,1.53,1.6,0.0,0.0,0.0,0.0,0.085317706507488,3.197768020989263,2.799015452483437,0.0007276979177538
105.0,-0.3500000000000001,50,19.6,2.45,10.476341167135889,COMPARE OFF,COMPARE OFF,COMPARE OFF,15,5,5,4,6.91,1.6,1.78,1.8,0.0,0.0,0.0,0.0,0.0009755137440449,2.424286917233734,2.429824399909013,4.227943312235625
110.0,-0.3599999999999999,53,22.21,2.77625,10.469252457287688,COMPARE OFF,COMPARE OFF,COMPARE OFF,15,5,6,4,7.66,1.85,2.08,2.0,0.0,0.0,0.0,0.0,0.0,4.691063373620221,0.002233237211966,0.0819180024866538
115.0,-0.375,59,25.0,3.125,10.224014200361776,COMPARE OFF,COMPARE OFF,COMPARE OFF,15,5,6,5,8.41,2.1,2.38,2.24,0.0,0.0,0.0,0.0,0.0,4.345265766615246,2.767377663264252,0.0001439606730807
120.0,-0.375,60,28.0,3.5,9.996871481277914,COMPARE OFF,COMPARE OFF,COMPARE OFF,15,6,6,5,9.16,2.4,2.68,2.49,0.0,0.0,0.0,0.0,0.0,1.9902643563345468,0.0,0.0
125.0,-0.375,63,30.97,3.87125,10.21586011626107,COMPARE OFF,COMPARE OFF,COMPARE OFF,15,6,6,5,9.91,2.7,2.98,2.74,0.0,0.0,0.0,0.0,0.4352013063786552,4.258847406304349,3.195964693096212,6.993241473316508
130.0,-0.375,62,34.04,4.255,10.391031286303988,COMPARE OFF,COMPARE OFF,COMPARE OFF,15,7,6,5,10.66,3.01,3.28,2.99,0.0,0.0,0.0,0.0,0.1144582894315031,3.0250873202708743,5.025440936090316,8.629332265484253
135.0,-0.375,67,37.25,4.65625,10.15226317250532,COMPARE OFF,COMPARE OFF,COMPARE OFF,16,7,6,5,11.42,3.36,3.58,3.24,0.0,0.0,0.0,0.0,0.0,2.5064216755077937,0.0,0.0
140.0,-0.3799999999999999,69,40.68,5.085000000000001,9.76547879207151,COMPARE OFF,COMPARE OFF,COMPARE OFF,17,7,6,5,12.25,3.71,3.88,3.49,0.0,0.0,0.0,0.0,0.0003512878715296,1.1329538379920645,1.8616176379758416,4.077112163653894
145.0,-0.415,74,44.32,5.54,9.303323613773204,COMPARE OFF,COMPARE OFF,COMPARE OFF,17,8,6,5,13.08,4.1,4.19,3.74,0.0,0.0,0.0,0.0,0.0017957895665793,3.1725425858658567,0.6922341694896782,4.633662118384185
150.0,-0.415,77,48.11,6.01375,8.786148072451638,COMPARE OFF,COMPARE OFF,COMPARE OFF,17,8,7,5,13.93,4.5,4.53,3.99,0.0,0.0,0.0,0.0,0.0001459823402749,0.027313853377753,2.1995992655060235,3.691833344807751
155.0,-0.4249999999999998,78,51.870000000000005,6.483750000000001,8.372936693113658,COMPARE OFF,COMPARE OFF,COMPARE OFF,17,9,9,5,14.78,4.95,4.9,4.24,0.0,0.0,0.0,0.0,0.3176266231091647,2.1880874701302075,1.812347426033771,0.0
160.0,-0.4249999999999998,80,55.85000000000001,6.981250000000001,7.963730025336788,COMPARE OFF,COMPARE OFF,COMPARE OFF,17,9,9,5,15.63,5.4,5.35,4.49,0.0,0.0,0.0,0.0,0.0779775294046999,0.8630349661700669,0.0132644464453806,6.678604979165058
165.0,-0.4250000000000007,89,60.14000000000001,7.5175,7.720905725094028,COMPARE OFF,COMPARE OFF,COMPARE OFF,17,10,10,5,16.48,5.88,5.85,4.74,0.0,0.0,0.0,0.0,0.008056587361736,5.050312408109199,1.6829149494919238,4.019581113603976
170.0,-0.4249999999999998,93,64.76,8.094999999999999,7.483854226184174,COMPARE OFF,COMPARE OFF,COMPARE OFF,18,10,10,5,17.38,6.38,6.35,4.99,0.0,0.0,0.0,0.0,0.0006705715237601,2.218119623194516,9.45095543995661e-05,3.6401942508792735
175.0,-0.4499999999999993,97,69.44,8.68,7.158603328173228,COMPARE OFF,COMPARE OFF,COMPARE OFF,18,10,10,5,18.28,6.88,6.85,5.24,0.0,0.0,0.0,0.0,5.4292513994746994e-05,0.777119414027037,0.8445731075826562,3.1820724359223256
180.0,-0.450000000000001,96,74.22,9.2775,7.041710849855236,COMPARE OFF,COMPARE OFF,COMPARE OFF,18,10,10,5,19.18,7.38,7.35,5.49,0.0,0.0,0.0,0.0,0.0,1.034169494480831,1.7021955810230205,2.9641373669743616
185.0,-0.4499999999999993,102,79.16,9.895,6.91529892622201,COMPARE OFF,COMPARE OFF,COMPARE OFF,18,11,10,5,20.08,7.91,7.85,5.74,0.0,0.0,0.0,0.0,0.2955804768796546,1.517513300171498,0.4793935124095343,3.044639980830969
190.0,-0.4499999999999993,106,84.35,10.54375,6.66292984797893,COMPARE OFF,COMPARE OFF,COMPARE OFF,18,11,11,5,20.98,8.46,8.38,5.99,0.0,0.0,0.0,0.0,0.0690855906709445,2.5968420213700587,0.9151566757136484,5.628610601480092
195.0,-0.450000000000001,115,89.82,11.2275,6.650084393431726,COMPARE OFF,COMPARE OFF,COMPARE OFF,19,12,12,6,21.9,9.02,8.95,6.27,0.0,0.0,0.0,0.0,0.0,2.5423292931826524,0.3183646648688288,3.0794111737769527
200.0,-0.4599999999999991,115,95.45,11.93125,6.599475111779993,COMPARE OFF,COMPARE OFF,COMPARE OFF,18,12,12,6,22.84,9.62,9.55,6.57,0.0,0.0,0.0,0.0,0.0100400208541105,3.509425786266609,1.395312106313756,3.7092174218248544
205.0,-0.4700000000000006,115,101.23,12.65375,6.560698320975703,COMPARE OFF,COMPARE OFF,COMPARE OFF,19,13,13,6,23.78,10.27,10.17,6.87,0.0,0.0,0.0,0.0,0.001052505520488,2.32634981858781,0.9817241632117174,2.832630328582234
210.0,-0.4700000000000006,119,107.09,13.38625,6.410988415505985,COMPARE OFF,COMPARE OFF,COMPARE OFF,19,13,13,6,24.73,10.92,10.82,7.17,0.0,0.0,0.0,0.0,8.536215593186649e-05,0.4194767434180593,0.4154680937450357,0.0
215.0,-0.4749999999999996,123,113.13,14.14125,6.215189747586031,COMPARE OFF,COMPARE OFF,COMPARE OFF,19,14,13,6,25.68,11.6,11.47,7.47,0.0,0.0,0.0,0.0,0.1350279588305435,0.0,1.6569864389524445,5.876598326772715
220.0,-0.4749999999999996,127,119.36,14.92,6.207066087183048,COMPARE OFF,COMPARE OFF,COMPARE OFF,19,14,13,6,26.63,12.3,12.12,7.77,0.0,0.0,0.0,0.0,0.0540899916714845,0.681327012172362,1.6818813304392335,0.0
225.0,-0.4749999999999996,128,125.84,15.73,5.68573973802356,COMPARE OFF,COMPARE OFF,COMPARE OFF,19,14,15,6,27.58,13.0,13.06,8.07,0.0,0.0,0.0,0.0,0.0053131979045334,1.0347959330560248,0.2349625039123435,4.446832500790684
230.0,-0.4749999999999996,129,132.19,16.52375,5.307294560335605,COMPARE OFF,COMPARE OFF,COMPARE OFF,20,14,16,6,28.58,13.7,13.76,8.37,0.0,0.0,0.0,0.0,0.000438773216575,1.5950189173592106,1.1933371847982377,6.469676146934047
235.0,-0.5,135,138.75,17.34375,5.2465288156810646,COMPARE OFF,COMPARE OFF,COMPARE OFF,20,15,17,6,29.58,14.41,14.56,8.67,0.0,0.0,0.0,0.0,3.549974608904536e-05,2.6033645794379123,0.0008062242972566,2.9639683795923304
240.0,-0.5,138,145.56999999999996,18.19625,5.280969304113999,COMPARE OFF,COMPARE OFF,COMPARE OFF,20,15,17,6,30.58,15.16,15.41,8.97,0.0,0.0,0.0,0.0,0.0,1.0419591571584164,0.5942522403630687,4.864316954685792
245.0,-0.5,142,152.73,19.09125,5.317692093119953,COMPARE OFF,COMPARE OFF,COMPARE OFF,20,15,17,7,31.58,15.91,16.4,9.31,0.0,0.0,0.0,0.0,0.3095520569574211,1.5299276752295965,0.3747247553735163,2.387861193545664
250.0,-0.5,140,159.52,19.94,5.19837158680338,COMPARE OFF,COMPARE OFF,COMPARE OFF,21,16,17,7,32.6,16.69,17.25,9.66,0.0,0.0,0.0,0.0,0.0,1.5775776797122425,0.5053949099790002,3.1388084106928646
255.0,-0.5100000000000016,144,166.56,20.82,4.878432412828461,COMPARE OFF,COMPARE OFF,COMPARE OFF,21,16,19,7,33.65,17.49,18.14,10.01,0.0,0.0,0.0,0.0,0.0,1.512367167701127,0.6310301399620025,1.7194340298507127
260.0,-0.5249999999999986,145,171.32999999999998,21.41625,4.775664698333066,COMPARE OFF,COMPARE OFF,COMPARE OFF,21,16,19,7,34.7,18.29,19.09,10.36,0.0,0.0,0.0,0.0,0.0,1.4538548028643203,0.1848846802940787,0.0
265.0,-0.5250000000000021,150,178.67,22.33375,4.682864826360956,COMPARE OFF,COMPARE OFF,COMPARE OFF,21,17,20,7,35.75,19.14,20.07,10.71,0.0,0.0,0.0,0.0,0.0,0.890657265469276,0.474336038778466,2.8618642267562167
270.0,-0.5249999999999986,155,186.32,23.29,4.467732445460287,COMPARE OFF,COMPARE OFF,COMPARE OFF,21,17,21,7,36.8,19.98,21.12,11.06,0.0,0.0,0.0,0.0,0.0,1.1287899373278336,0.9639947035259234,2.8984350218313404
275.0,-0.5249999999999986,151,193.68,24.21,4.574271218156818,COMPARE OFF,COMPARE OFF,COMPARE OFF,21,17,21,7,37.85,20.83,22.17,11.41,0.0,0.0,0.0,0.0,0.1909686893915071,2.1494703539389004,0.0187915871083083,2.404455926402722
280.0,-0.5250000000000021,156,201.46,25.1825,4.446174554718738,COMPARE OFF,COMPARE OFF,COMPARE OFF,21,18,22,7,38.9,21.72,23.25,11.76,0.0,0.0,0.0,0.0,0.0426632747036491,1.2133034058779046,0.8476981234010018,2.724402109127664
285.0,-0.5249999999999986,162,209.51,26.18875,4.340660445968433,COMPARE OFF,COMPARE OFF,COMPARE OFF,22,18,22,7,39.97,22.62,24.35,12.11,0.0,0.0,0.0,0.0,0.0,0.0424460375391752,0.00013392352847,1.338315427131605
290.0,-0.5350000000000001,170,217.77,27.22125,4.322420419590659,COMPARE OFF,COMPARE OFF,COMPARE OFF,22,19,22,7,41.06,23.53,25.45,12.46,0.0,0.0,0.0,0.0,0.0026870458405542,1.2815249333903285,0.469480122881864,2.7465489729319845
295.0,-0.5450000000000017,173,226.22,28.2775,4.122918631312815,COMPARE OFF,COMPARE OFF,COMPARE OFF,22,19,22,8,42.16,24.48,26.75,12.82,0.0,0.0,0.0,0.0,0.0002204651600845,1.073442125672185,0.167234632841015,0.0068409145772323
300.0,-0.5499999999999972,171,234.7,29.3375,3.929648859614458,COMPARE OFF,COMPARE OFF,COMPARE OFF,22,19,23,8,43.26,25.43,27.88,13.22,0.0,0.0,0.0,0.0,1.7821951295745395e-05,1.0498872232473284,0.3839472234929629,5.321721569630309
305.0,-0.5500000000000007,176,243.38,30.4225,3.791044772281345,COMPARE OFF,COMPARE OFF,COMPARE OFF,22,20,24,8,44.36,26.39,29.05,13.62,0.0,0.0,0.0,0.0,0.1324630128658441,1.1320640652495415,0.9066539782587816,3.085242299145849
310.0,-0.5500000000000007,179,252.1,31.512500000000003,3.81408763400977,COMPARE OFF,COMPARE OFF,COMPARE OFF,22,20,25,8,45.47,27.39,30.3,14.02,0.0,0.0,0.0,0.0,0.0241253260260641,0.1747222981631701,0.000162002897647,0.0
315.0,-0.5549999999999997,179,258.27,32.28375,3.8035535752402376,COMPARE OFF,COMPARE OFF,COMPARE OFF,23,21,25,6,46.6,28.44,31.55,11.74,0.0,0.0,0.0,0.0,8.159750207326428e-05,0.9693700019833504,0.3982074252243007,2.6369827309572886
320.0,-0.5650000000000013,182,268.53,33.56625,3.70119777198496,COMPARE OFF,COMPARE OFF,COMPARE OFF,23,22,25,7,47.75,29.5,32.8,13.77,0.0,0.0,0.0,0.0,0.0,1.082335566451882,0.772682512629815,1.4416041956475878
325.0,-0.5749999999999993,182,277.66,34.7075,3.616893053131022,COMPARE OFF,COMPARE OFF,COMPARE OFF,23,22,25,9,48.9,30.6,34.05,14.19,0.0,0.0,0.0,0.0,0.0,1.035824152893953,0.0179423418089377,0.0339100951319834
330.0,-0.5749999999999993,191,286.72,35.84,3.47607764075029,COMPARE OFF,COMPARE OFF,COMPARE OFF,23,22,26,10,50.05,31.7,35.32,14.65,0.0,0.0,0.0,0.0,0.0,0.9647027487343884,0.3832984041118316,0.0079238094824594
335.0,-0.5749999999999993,197,296.37,37.04625,3.576095145509613,COMPARE OFF,COMPARE OFF,COMPARE OFF,23,22,26,10,51.2,32.8,36.62,15.15,0.0,0.0,0.0,0.0,0.0792966103364637,0.0808058336760736,0.1166987893439364,1.5761496677260034
340.0,-0.5750000000000028,200,306.28000000000003,38.285,3.5677347435068385,COMPARE OFF,COMPARE OFF,COMPARE OFF,23,22,26,10,52.35,33.9,37.92,15.65,0.0,0.0,0.0,0.0,0.0171577418867287,0.0090349660842015,0.6820619000563589,1.5962775030085878
345.0,-0.5749999999999993,206,316.49,39.56125,3.4930991900628263,COMPARE OFF,COMPARE OFF,COMPARE OFF,24,23,27,10,53.55,35.04,39.25,16.15,0.0,0.0,0.0,0.0,0.0,1.011471226327762,0.3985454678425722,1.6279411077044974
350.0,-0.5999999999999979,213,326.89,40.86125,3.5569921583251904,COMPARE OFF,COMPARE OFF,COMPARE OFF,24,23,27,10,54.75,36.19,40.6,16.65,0.0,0.0,0.0,0.0,0.0,0.8917318544568115,0.1312977390103812,0.0
355.0,-0.6000000000000014,211,337.02,42.1275,3.53904479833318,COMPARE OFF,COMPARE OFF,COMPARE OFF,24,23,27,10,55.95,37.34,41.95,17.15,0.0,0.0,0.0,0.0,0.0,1.2575398537013085,0.7008220889524882,0.0
360.0,-0.6000000000000014,211,347.17,43.39625,3.4040725954781164,COMPARE OFF,COMPARE OFF,COMPARE OFF,24,24,28,10,57.15,38.54,43.31,17.65,0.0,0.0,0.0,0.0,0.0,0.0329900194349688,0.0028886582823197,3.6379893603170737
365.0,-0.5999999999999979,209,357.55,44.69375,3.3487748862311286,COMPARE OFF,COMPARE OFF,COMPARE OFF,24,24,28,10,58.35,39.74,44.71,18.15,0.0,0.0,0.0,0.0,0.1239124959966367,1.016706161098476,0.1872897793996135,2.070484866478091
370.0,-0.6000000000000014,205,367.49,45.93625,3.297764536015462,COMPARE OFF,COMPARE OFF,COMPARE OFF,25,25,28,10,59.59,40.95,46.11,18.65,0.0,0.0,0.0,0.0,0.0,1.1003057198886033,0.7066332794847835,2.1075738529972337
375.0,-0.620000000000001,208,378.08,47.260000000000005,3.2152640184215286,COMPARE OFF,COMPARE OFF,COMPARE OFF,25,26,29,10,60.84,42.22,47.52,19.15,0.0,0.0,0.0,0.0,0.0,0.9436519634447728,0.002839474074216,1.7041801411985449
380.0,-0.625,215,388.33,48.54125,3.1577228010098013,COMPARE OFF,COMPARE OFF,COMPARE OFF,25,26,29,11,62.09,43.52,48.97,19.67,0.0,0.0,0.0,0.0,0.0,0.7582801513110191,0.6174106527460824,1.7263866639418042
385.0,-0.625,217,399.01,49.87625,3.213423276338197,COMPARE OFF,COMPARE OFF,COMPARE OFF,25,26,29,11,63.34,44.82,50.42,20.22,0.0,0.0,0.0,0.0,0.0,0.1271483027316622,1.887037805228952e-05,1.7441930622955726
390.0,-0.625,222,410.03,51.25375,3.1474870721512227,COMPARE OFF,COMPARE OFF,COMPARE OFF,25,26,29,11,64.59,46.12,51.87,20.77,0.0,0.0,0.0,0.0,0.0,0.0051540614698249,0.17545241865363,3.4037762778552456
395.0,-0.625,226,420.69999999999993,52.587500000000006,3.1144846371359263,COMPARE OFF,COMPARE OFF,COMPARE OFF,25,27,30,11,65.84,47.47,53.34,21.32,0.0,0.0,0.0,0.0,0.0542636029909631,0.5618936546944624,0.6647715962598184,0.2371353306214659
400.0,-0.625,223,431.97,53.99625,3.0863806330745778,COMPARE OFF,COMPARE OFF,COMPARE OFF,25,27,30,12,67.09,48.82,54.84,21.91,0.0,0.0,0.0,0.0,0.0136704525238437,0.3935531612319712,0.0,1.8346863286822312
405.0,-0.625,216,441.74,55.2175,2.9801851707285705,COMPARE OFF,COMPARE OFF,COMPARE OFF,26,27,30,12,68.35,50.17,56.34,22.51,0.0,0.0,0.0,0.0,0.003208912852099,0.2674083084572244,0.5928889161075898,0.0
410.0,-0.6299999999999955,217,453.39,56.67375,3.1160215773963054,COMPARE OFF,COMPARE OFF,COMPARE OFF,26,28,30,12,69.65,51.57,57.84,23.11,0.0,0.0,0.0,0.0,0.0002971534262299,1.0507151798078131,0.0,3.2585135892355
415.0,-0.6500000000000057,220,463.54,57.9425,3.1877391638170725,COMPARE OFF,COMPARE OFF,COMPARE OFF,26,28,30,12,70.95,52.97,59.34,23.71,0.0,0.0,0.0,0.0,2.4036406514611217e-05,0.014832173385733,0.594415087182628,1.2939176157028984
420.0,-0.6499999999999986,223,474.61,59.32625,3.1538407188174578,COMPARE OFF,COMPARE OFF,COMPARE OFF,26,28,30,12,72.25,54.37,60.84,24.31,0.0,0.0,0.0,0.0,0.0,0.8200414958200748,0.2187136176509449,2.651169940212361
425.0,-0.6499999999999986,230,486.0,60.75,3.231204499298802,COMPARE OFF,COMPARE OFF,COMPARE OFF,26,30,30,12,73.55,55.83,62.34,24.91,0.0,0.0,0.0,0.0,0.0269145309706787,0.1005736677605439,0.0543621733153013,2.812821836556072
430.0,-0.6499999999999986,236,497.73,62.21625,3.1669628650995385,COMPARE OFF,COMPARE OFF,COMPARE OFF,26,30,31,12,74.85,57.33,63.87,25.51,0.0,0.0,0.0,0.0,0.010596866174047,0.4612202779935073,0.0,2.3226579724365224
435.0,-0.6499999999999986,238,509.52,63.69,2.987847923879601,COMPARE OFF,COMPARE OFF,COMPARE OFF,27,30,31,12,76.18,58.77,65.42,26.11,0.0,0.0,0.0,0.0,0.0009066945983546,0.77583655569508,0.0,1.959263807045728
440.0,-0.6650000000000063,232,520.45,65.05625,3.058521590311108,COMPARE OFF,COMPARE OFF,COMPARE OFF,27,30,31,12,77.53,60.27,66.97,26.71,0.0,0.0,0.0,0.0,7.360648461396339e-05,0.9834310385497104,0.0635523124493429,1.819990070775534
445.0,-0.6749999999999972,230,532.47,66.55875,3.029986978783639,COMPARE OFF,COMPARE OFF,COMPARE OFF,27,30,31,10,78.88,61.77,68.52,27.28,0.0,0.0,0.0,0.0,5.94649159868767e-06,0.4865967929628036,0.6748191724754184,1.0080138348734993
450.0,-0.6749999999999972,233,542.12,67.765,2.984023781702193,COMPARE OFF,COMPARE OFF,COMPARE OFF,27,31,31,10,80.23,63.32,70.07,26.29,0.0,0.0,0.0,0.0,0.0,1.549187937499082,0.0075848808983094,1.4450870804019376
455.0,-0.6750000000000043,238,553.82,69.22749999999999,3.0794712788499745,COMPARE OFF,COMPARE OFF,COMPARE OFF,28,32,32,10,81.59,64.88,71.66,26.79,0.0,0.0,0.0,0.0,0.0,0.5204237246935234,0.6668452556527283,2.4096784583341906
460.0,-0.6799999999999997,240,565.77,70.72125,3.002629038077403,COMPARE OFF,COMPARE OFF,COMPARE OFF,28,32,32,11,82.99,66.48,73.26,27.31,0.0,0.0,0.0,0.0,0.0,0.3910578850488459,0.2652352376917064,1.3592905131168715
465.0,-0.6999999999999957,243,577.85,72.23124999999999,2.741385589573687,COMPARE OFF,COMPARE OFF,COMPARE OFF,28,32,33,11,84.39,68.08,74.87,27.86,0.0,0.0,0.0,0.0,0.0,0.2838873506882319,4.089134156814074e-06,2.644651183003362
470.0,-0.7000000000000028,245,590.03,73.75375,2.658141562352,COMPARE OFF,COMPARE OFF,COMPARE OFF,28,33,33,11,85.79,69.72,76.49,28.41,0.0,0.0,0.0,0.0,0.0,0.7181932832026933,0.5214861966436496,1.4325242708587445
475.0,-0.7000000000000028,245,602.25,75.28125,2.903859442637023,COMPARE OFF,COMPARE OFF,COMPARE OFF,28,33,33,11,87.19,71.37,78.11,28.96,0.0,0.0,0.0,0.0,0.0,0.9225086881356972,0.0002132268960849,1.3289659578701152
480.0,-0.6999999999999957,241,612.57,76.57124999999999,2.968136927805672,COMPARE OFF,COMPARE OFF,COMPARE OFF,28,33,33,12,88.59,73.02,79.76,29.52,0.0,0.0,0.0,0.0,0.0,0.9064653078230194,0.5498052139926562,1.1072544439069123
485.0,-0.7000000000000028,239,625.5199999999999,78.19,2.969860995459289,COMPARE OFF,COMPARE OFF,COMPARE OFF,28,34,33,12,89.99,74.7,81.41,30.12,0.0,0.0,0.0,0.0,0.0307590581610204,0.0008103611620145,0.5819875355512378,0.0006005934884831
490.0,-0.6999999999999957,241,636.57,79.57125,2.865855954853906,COMPARE OFF,COMPARE OFF,COMPARE OFF,29,34,33,12,91.42,76.4,83.06,30.72,0.0,0.0,0.0,0.0,0.0002150607844754,0.3923649277585742,0.0,1.2736304218574448
495.0,-0.7150000000000034,243,648.96,81.12,2.797496611125136,COMPARE OFF,COMPARE OFF,COMPARE OFF,29,35,33,12,92.87,78.11,84.71,31.32,0.0,0.0,0.0,0.0,0.0,0.0027288385520404,0.2828875797863849,0.1222356398746643
500.0,-0.7250000000000014,247,661.21,82.65125,2.7948269763885696,COMPARE OFF,COMPARE OFF,COMPARE OFF,29,35,33,13,94.32,79.86,86.36,31.94,0.0,0.0,0.0,0.0,0.0,0.6319583213990865,0.5987505573740165,2.2944307782808275
505.0,-0.7249999999999943,249,673.46,84.1825,2.845809541223628,COMPARE OFF,COMPARE OFF,COMPARE OFF,29,35,33,13,95.77,81.61,88.01,32.59,0.0,0.0,0.0,0.0,0.0,0.2507763350578067,0.0105492644674105,1.384409881223679
510.0,-0.7250000000000014,247,684.53,85.56625,2.650890546244262,COMPARE OFF,COMPARE OFF,COMPARE OFF,29,35,34,13,97.22,83.36,89.69,33.24,0.0,0.0,0.0,0.0,0.0,0.6049791832131389,0.5757871253370088,1.5916082955731443
515.0,-0.7250000000000014,245,696.76,87.095,2.577648337010717,COMPARE OFF,COMPARE OFF,COMPARE OFF,30,35,34,13,98.7,85.11,91.39,33.89,0.0,0.0,0.0,0.0,0.0,1.0653115789573329,7.438027607851883e-05,0.0
520.0,-0.740000000000002,247,709.02,88.6275,2.6734116039452966,COMPARE OFF,COMPARE OFF,COMPARE OFF,30,35,34,13,100.2,86.86,93.09,34.54,0.0,0.0,0.0,0.0,0.0,0.6191486546839323,0.6046592174928165,2.381777071265625
525.0,-0.75,248,721.33,90.16625,2.554319389108106,COMPARE OFF,COMPARE OFF,COMPARE OFF,30,35,34,13,101.7,88.61,94.79,35.19,0.0,0.0,0.0,0.0,0.0,0.2586554941770834,0.0,0.0
530.0,-0.75,253,733.84,91.73,2.54560498610236,COMPARE OFF,COMPARE OFF,COMPARE OFF,30,37,34,13,103.2,90.39,96.49,35.84,0.0,0.0,0.0,0.0,0.0,0.6505444259615284,0.5576859077881166,3.076236737489694
